order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
599,1,4,09-12-16,10-12-16,12-12-16,2,6
692,2,3,05-02-17,05-02-17,NULL,1,3
700,4,4,07-02-17,10-02-17,08-02-17,2,6
264,5,3,10-06-16,10-06-16,NULL,1,3
571,5,4,24-11-16,25-11-16,27-11-16,1,2
104,7,4,03-03-16,05-03-16,05-03-16,2,7
512,8,4,19-10-16,22-10-16,20-10-16,2,7
76,9,3,16-02-16,16-02-16,NULL,2,6
825,10,4,07-04-17,08-04-17,09-04-17,2,7
108,12,4,06-03-16,09-03-16,07-03-16,2,6
715,12,3,15-02-17,15-02-17,NULL,2,6
239,13,3,27-05-16,27-05-16,NULL,3,9
852,13,4,21-04-17,23-04-17,22-04-17,3,9
357,14,3,05-08-16,05-08-16,NULL,3,8
419,14,4,04-09-16,07-09-16,06-09-16,3,8
352,16,4,03-08-16,04-08-16,06-08-16,2,7
246,17,3,30-05-16,30-05-16,NULL,2,6
301,17,4,06-07-16,09-07-16,08-07-16,2,6
606,18,4,11-12-16,12-12-16,13-12-16,2,7
547,20,4,09-11-16,11-11-16,10-11-16,3,8
735,20,3,27-02-17,27-02-17,NULL,3,9
183,22,4,19-04-16,20-04-16,20-04-16,2,7
185,24,3,20-04-16,20-04-16,NULL,1,2
256,26,4,04-06-16,05-06-16,07-06-16,2,7
634,27,4,29-12-16,01-01-17,30-12-16,2,6
665,29,4,21-01-17,22-01-17,23-01-17,2,6
349,30,3,03-08-16,03-08-16,NULL,1,3
444,30,4,19-09-16,20-09-16,21-09-16,1,2
162,31,4,06-04-16,08-04-16,07-04-16,1,3
350,31,3,03-08-16,03-08-16,NULL,1,3
159,32,4,04-04-16,06-04-16,06-04-16,1,2
582,32,3,04-12-16,04-12-16,NULL,1,2
575,33,4,27-11-16,28-11-16,30-11-16,1,3
303,36,4,07-07-16,08-07-16,09-07-16,2,7
718,38,4,16-02-17,17-02-17,17-02-17,2,7
598,40,3,09-12-16,09-12-16,NULL,1,3
157,43,4,03-04-16,06-04-16,06-04-16,3,8
935,43,3,10-06-17,10-06-17,NULL,3,8
826,45,4,07-04-17,10-04-17,10-04-17,2,6
132,46,4,20-03-16,22-03-16,23-03-16,1,3
897,47,4,20-05-17,21-05-17,21-05-17,1,2
739,49,4,28-02-17,01-03-17,02-03-17,2,6
70,50,3,11-02-16,11-02-16,NULL,3,9
593,50,4,07-12-16,10-12-16,08-12-16,3,8
222,51,4,13-05-16,16-05-16,14-05-16,2,6
389,53,4,22-08-16,24-08-16,25-08-16,1,3
519,54,4,22-10-16,23-10-16,24-10-16,2,7
147,55,4,28-03-16,31-03-16,31-03-16,2,7
778,56,3,15-03-17,15-03-17,NULL,3,9
27,57,4,19-01-16,21-01-16,20-01-16,2,7
694,58,4,05-02-17,06-02-17,08-02-17,2,7
286,59,4,25-06-16,26-06-16,26-06-16,2,6
9,60,4,05-01-16,08-01-16,08-01-16,1,2
391,61,3,23-08-16,23-08-16,NULL,3,9
556,61,4,13-11-16,14-11-16,15-11-16,3,9
543,62,4,06-11-16,09-11-16,08-11-16,2,6
549,64,3,12-11-16,12-11-16,NULL,3,9
673,64,4,26-01-17,28-01-17,27-01-17,3,9
240,65,4,27-05-16,29-05-16,30-05-16,2,6
252,66,4,01-06-16,04-06-16,02-06-16,3,8
885,66,3,13-05-17,13-05-17,NULL,3,8
424,67,4,08-09-16,11-09-16,11-09-16,1,3
924,68,3,02-06-17,02-06-17,NULL,3,8
